node_id,feat
207044,"0.6146330290652523, 0.2965293266814928"
207740,"0.8037445757497168, 0.4902647928694628"
209102,"0.6621824070008452, 0.28897466254730436"
209650,"0.5338301997133805, 0.21307560179172497"
209833,"0.5136988332712041, 0.07589906075557941"
210312,"0.6560605661102029, 0.2405943302751002"
210937,"0.6527253073018484, 0.25213122229952206"
211323,"0.5146988329022466, 0.1202971651375501"
213151,"0.6475238398007513, 0.21307560179172497"
267613,"0.818729720322823, 0.7068390692327272"
327983,"0.6054680535779841, 0.592570905569622"
328266,"0.6059017143371235, 0.5321455634305439"
328512,"0.6423735506132364, 0.4915020851138553"
328832,"0.7393681946493317, 0.3608914954126503"
396998,"0.7105627392730495, 0.4620327120353916"
397131,"0.5205143162097965, 0.3164933910306796"
398465,"0.760266340804113, 0.2808598989895499"
46,"0.17623216154394267, 0.17623216154394267"
11094,"0.1202971651375501, 0.0"
55,"0.15179812151115882, 0.1202971651375501"
46274,"0.1202971651375501, 0.0"
57,"0.21307560179172497, 0.3608914954126503"
217,"0.07589906075557941, 0.0"
675,"0.07589906075557941, 0.0"
1998,"0.07589906075557941, 0.15179812151115882"
6263,"0.1202971651375501, 0.07589906075557941"
7896,"0.21307560179172497, 0.15179812151115882"
7973,"0.15179812151115882, 0.0"
11317,"0.2276971822667382, 0.21307560179172497"
12042,"0.21307560179172497, 0.41184839829299374"
14763,"0.15179812151115882, 0.0"
15336,"0.1202971651375501, 0.0"
16851,"0.2276971822667382, 0.32241370842815203"
17234,"0.1202971651375501, 0.0"
18454,"0.15179812151115882, 0.0"
20125,"0.1202971651375501, 0.0"
21727,"0.15179812151115882, 0.0"
21951,"0.1202971651375501, 0.0"
26557,"0.1202971651375501, 0.0"
30220,"0.1202971651375501, 0.0"
32907,"0.1202971651375501, 0.0"
33189,"0.19619622589312952, 0.2276971822667382"
33455,"0.1202971651375501, 0.0"
33692,"0.15179812151115882, 0.0"
40387,"0.3333727669292751, 0.21307560179172497"
40497,"0.1202971651375501, 0.0"
59,"0.07589906075557941, 0.1202971651375501"
62,"0.17623216154394267, 0.524226508948231"
19,"0.15179812151115882, 0.0"
125,"0.15179812151115882, 0.0"
286,"0.15179812151115882, 0.6463336194021982"
2165,"0.15179812151115882, 0.07589906075557941"
2567,"0.17623216154394267, 0.0"
2723,"0.15179812151115882, 0.0"
3828,"0.1202971651375501, 0.0"
4891,"0.07589906075557941, 0.0"
7838,"0.19619622589312952, 0.0"
10511,"0.15179812151115882, 0.0"
10723,"0.17623216154394267, 0.0"
10848,"0.15179812151115882, 0.0"
11189,"0.1202971651375501, 0.0"
11690,"0.15179812151115882, 0.0"
12007,"0.21307560179172497, 0.0"
13782,"0.15179812151115882, 0.0"
14032,"0.07589906075557941, 0.0"
14862,"0.17623216154394267, 0.0"
16525,"0.15179812151115882, 0.0"
16678,"0.07589906075557941, 0.0"
16991,"0.1202971651375501, 0.0"
17038,"0.15179812151115882, 0.0"
17377,"0.15179812151115882, 0.0"
17466,"0.25213122229952206, 0.0"
18676,"0.3760188467571208, 0.3953926175012293"
18701,"0.2405943302751002, 0.0"
19137,"0.15179812151115882, 0.0"
19311,"0.1202971651375501, 0.0"
19606,"0.17623216154394267, 0.0"
19787,"0.15179812151115882, 0.0"
20333,"0.17623216154394267, 0.0"
20339,"0.07589906075557941, 0.0"
20416,"0.1202971651375501, 0.0"
21945,"0.1202971651375501, 0.0"
22104,"0.17623216154394267, 0.0"
22334,"0.15179812151115882, 0.0"
22688,"0.19619622589312952, 0.0"
22717,"0.25213122229952206, 0.0"
22775,"0.2276971822667382, 0.0"
23165,"0.15179812151115882, 0.0"
23463,"0.19619622589312952, 0.0"
25765,"0.1202971651375501, 0.0"
25836,"0.17623216154394267, 0.0"
25907,"0.1202971651375501, 0.0"
25938,"0.2405943302751002, 0.0"
25955,"0.21307560179172497, 0.0"
26512,"0.21307560179172497, 0.19619622589312952"
26513,"0.07589906075557941, 0.0"
26705,"0.15179812151115882, 0.0"
26940,"0.25213122229952206, 0.0"
29952,"0.1202971651375501, 0.0"
29954,"0.21307560179172497, 0.0"
30059,"0.15179812151115882, 0.07589906075557941"
30175,"0.2276971822667382, 0.0"
30347,"0.07589906075557941, 0.0"
30423,"0.1202971651375501, 0.0"
31966,"0.15179812151115882, 0.0"
32418,"0.1202971651375501, 0.0"
32457,"0.15179812151115882, 0.0"
32857,"0.1202971651375501, 0.0"
33016,"0.1202971651375501, 0.0"
33365,"0.15179812151115882, 0.0"
35934,"0.17623216154394267, 0.0"
36328,"0.07589906075557941, 0.0"
36607,"0.07589906075557941, 0.0"
40062,"0.1202971651375501, 0.0"
46202,"0.15179812151115882, 0.0"
46204,"0.07589906075557941, 0.0"
46282,"0.17623216154394267, 0.0"
