,src_id,dst_id
3793,6939,34224
3810,6939,34309
3831,6939,34549
3848,6939,34655
3867,6939,34772
3907,6939,35047
3913,6939,35104
3916,6939,35168
3927,6939,35228
3931,6939,35266
3935,6939,35280
3940,6939,35320
3950,6939,35369
3985,6939,35699
3987,6939,35706
3993,6939,35753
3999,6939,35805
4009,6939,35908
4010,6939,35916
4021,6939,36086
4028,6939,36149
4037,6939,36236
4045,6939,36351
4090,6939,36944
4093,6939,36994
4101,6939,37100
4106,6939,37153
4111,6939,37179
4113,6939,37204
4119,6939,37254
4120,6939,37271
4121,6939,37273
4123,6939,37282
4124,6939,37305
4137,6939,37451
4139,6939,37468
4143,6939,37497
4149,6939,37558
4163,6939,37662
4174,6939,37721
4181,6939,38001
4184,6939,38040
4187,6939,38082
4189,6939,38091
4197,6939,38193
4198,6939,38195
4200,6939,38235
4203,6939,38278
4205,6939,38321
4211,6939,38456
4221,6939,38623
4240,6939,38880
4286,6939,39273
4295,6939,39356
4299,6939,39386
4301,6939,39392
4319,6939,39533
4321,6939,39540
4326,6939,39572
4327,6939,39582
4336,6939,39611
4353,6939,39737
4362,6939,39798
4371,6939,39839
4390,6939,40065
4406,6939,40300
4431,6939,40676
4442,6939,40824
4447,6939,40861
4473,6939,41095
4495,6939,41313
4497,6939,41327
4528,6939,41564
4561,6939,41798
4586,6939,41998
4587,6939,42000
4639,6939,42473
4651,6939,42555
4661,6939,42624
4662,6939,42632
4663,6939,42649
4665,6939,42652
4672,6939,42708
4686,6939,42861
4692,6939,42910
4724,6939,43201
4729,6939,43256
4743,6939,43350
4749,6939,43391
4764,6939,43531
4772,6939,43578
4788,6939,43727
4835,6939,44217
4846,6939,44356
4893,6939,44814
4901,6939,44901
4917,6939,45147
4919,6939,45177
4923,6939,45250
4924,6939,45259
4931,6939,45352
4932,6939,45356
4936,6939,45430
4938,6939,45474
4946,6939,45558
4947,6939,45629
4951,6939,45671
4959,6939,45758
4963,6939,45796
4984,6939,46261
5005,6939,46475
5011,6939,46562
5028,6939,46786
5032,6939,46844
5054,6939,47147
5081,6939,47377
5083,6939,47394
5090,6939,47441
5100,6939,47536
5106,6939,47586
5129,6939,47764
5132,6939,47787
5134,6939,47794
5143,6939,47869
5144,6939,47872
5155,6939,47973
5159,6939,48011
5196,6939,48292
5225,6939,48452
5257,6939,48728
5267,6939,48858
5293,6939,49063
5321,6939,49349
5333,6939,49425
5335,6939,49453
5344,6939,49505
5351,6939,49544
5364,6939,49666
5381,6939,49788
5410,6939,49981
5414,6939,50010
5416,6939,50020
5429,6939,50107
5445,6939,50245
5458,6939,50300
5459,6939,50304
5460,6939,50309
5468,6939,50340
5472,6939,50360
5484,6939,50509
5509,6939,50673
5568,6939,51167
5580,6939,51269
5598,6939,51375
5605,6939,51407
5608,6939,51430
5622,6939,51531
5625,6939,51559
5644,6939,51765
5688,6939,52320
5692,6939,52468
5775,6939,52965
5855,6939,53264
5866,6939,53356
5996,6939,55039
6005,6939,55195
6017,6939,55329
6034,6939,55720
6040,6939,55805
6047,6939,55933
6095,6939,56484
6112,6939,56655
6114,6939,56665
6151,6939,57118
6159,6939,57187
6172,6939,57344
6175,6939,57354
6210,6939,57704
6212,6939,57717
6214,6939,57724
6224,6939,57811
6244,6939,58057
6247,6939,58073
6271,6939,58321
6277,6939,58430
6279,6939,58453
6288,6939,58552
6290,6939,58601
6294,6939,58682
6296,6939,58715
