node_id,feat
2165,"4, 4"
2567,"4, 4"
2723,"3, 3"
3828,"2, 2"
4891,"1, 1"
7838,"5, 5"
10511,"3, 3"
10723,"4, 4"
10848,"3, 3"
11189,"2, 2"
11690,"3, 3"
12007,"6, 6"
13782,"3, 3"
14032,"1, 1"
14862,"4, 4"
16525,"3, 3"
16678,"1, 1"
16991,"2, 2"
17038,"3, 3"
17377,"3, 3"
17466,"9, 9"
18676,"66, 66"
18701,"8, 8"
19137,"3, 3"
19311,"2, 2"
19606,"4, 4"
19787,"3, 3"
20333,"4, 4"
20339,"1, 1"
20416,"2, 2"
21945,"2, 2"
22104,"4, 4"
22334,"3, 3"
22688,"5, 5"
22717,"9, 9"
22775,"7, 7"
23165,"3, 3"
23463,"5, 5"
25765,"2, 2"
25836,"4, 4"
25907,"2, 2"
25938,"8, 8"
25955,"6, 6"
26512,"11, 11"
26513,"1, 1"
26705,"3, 3"
26940,"9, 9"
29952,"2, 2"
29954,"6, 6"
30059,"4, 4"
30175,"7, 7"
30347,"1, 1"
30423,"2, 2"
31966,"3, 3"
32418,"2, 2"
32457,"3, 3"
32857,"2, 2"
33016,"2, 2"
33365,"3, 3"
35934,"4, 4"
36328,"1, 1"
36607,"1, 1"
40062,"2, 2"
46202,"3, 3"
46204,"1, 1"
46282,"4, 4"
46606,"9, 9"
46784,"5, 5"
53305,"1, 1"
53396,"3, 3"
53559,"3, 3"
53562,"2, 2"
54554,"1, 1"
54775,"3, 3"
54963,"5, 5"
62529,"2, 2"
62659,"2, 2"
62872,"2, 2"
63011,"1, 1"
63321,"2, 2"
63474,"10, 10"
393463,"3, 3"
393520,"1, 1"
393571,"2, 2"
393587,"2, 2"
393759,"2, 2"
393832,"3, 3"
393924,"2, 2"
393961,"1, 1"
394302,"1, 1"
395273,"4, 4"
395288,"1, 1"
395533,"2, 2"
396041,"2, 2"
396285,"3, 3"
396290,"2, 2"
396361,"2, 2"
396497,"1, 1"
397325,"1, 1"
397374,"2, 2"
397768,"1, 1"
397843,"3, 3"
397941,"1, 1"
398381,"1, 1"
398409,"2, 2"
398492,"1, 1"
399110,"1, 1"
70,"3, 3"
393689,"4, 4"
71,"5, 5"
7430,"3, 3"
10782,"1, 1"
15329,"1, 1"
72,"24, 24"
77,"20, 20"
5723,"5, 5"
81,"40, 40"
6559,"1, 1"
10952,"1, 1"
11442,"1, 1"
11777,"2, 2"
13371,"1, 1"
13862,"1, 1"
17031,"1, 1"
18538,"1, 1"
19161,"1, 1"
19413,"1, 1"
19718,"1, 1"
20197,"1, 1"
26741,"2, 2"
32417,"2, 2"
32711,"1, 1"
33401,"2, 2"
36850,"1, 1"
40245,"1, 1"
46255,"2, 2"
46963,"2, 2"
53384,"2, 2"
53785,"1, 1"
394165,"1, 1"
395312,"2, 2"
395465,"1, 1"
396028,"3, 3"
396391,"1, 1"
396837,"2, 2"
398580,"2, 2"
399050,"1, 1"
399407,"1, 1"
399565,"2, 2"
101,"59, 59"
73,"1, 1"
3428,"2, 2"
3807,"3, 3"
4193,"4, 4"
4600,"9, 9"
7774,"2, 2"
10430,"21, 21"
11548,"1, 1"
11649,"4, 4"
11827,"3, 3"
11956,"4, 4"
13476,"4, 4"
14221,"1, 1"
14954,"1, 1"
17200,"1, 1"
19014,"2, 2"
22335,"30, 30"
22972,"1, 1"
23815,"33, 33"
40272,"2, 2"
47065,"82, 82"
53472,"3, 3"
64247,"2, 2"
103,"7, 7"
109,"21, 21"
111,"5, 5"
10961,"3, 3"
112,"496, 496"
1547,"520, 520"
2683,"416, 416"
2854,"710, 710"
2895,"415, 415"
3218,"415, 415"
3267,"569, 569"
3316,"419, 419"
3327,"608, 608"
5429,"477, 477"
5431,"411, 411"
5467,"418, 418"
5495,"425, 425"
5518,"440, 440"
5523,"415, 415"
5568,"412, 412"
5602,"331, 331"
6697,"547, 547"
6820,"426, 426"
6856,"420, 420"
6866,"578, 578"
8241,"421, 421"
8242,"419, 419"
8331,"491, 491"
8369,"546, 546"
8400,"650, 650"
8410,"455, 455"
8449,"442, 442"
8515,"410, 410"
8629,"415, 415"
8636,"426, 426"
8641,"585, 585"
8752,"452, 452"
8764,"580, 580"
8932,"582, 582"
8985,"482, 482"
9031,"488, 488"
9032,"412, 412"
9039,"417, 417"
9049,"838, 838"
9110,"421, 421"
9198,"475, 475"
9206,"412, 412"
9269,"626, 626"
10122,"502, 502"
11284,"431, 431"
12297,"542, 542"
12335,"413, 413"
12389,"1546, 1546"
12418,"492, 492"
12578,"640, 640"
12668,"442, 442"
12695,"594, 594"
12714,"562, 562"
12741,"981, 981"
12993,"534, 534"
13002,"482, 482"
13094,"468, 468"
13238,"433, 433"
