node_id,feat,label
4130,"1.0,0.0","0.000310700984972"
5050,"1.0,0.0","0.000385781680418"
5078,"1.0,0.0","0.0007682565687404"
6509,"1.0,0.0","4.022067738446261e-07"
6879,"1.0,0.0","1.0061618802599406e-05"
7160,"1.0,0.0","0.0003208097683646"
7497,"1.0,0.0","0.0013701436152631"
7660,"1.0,0.0","3.234721934562806e-05"
9885,"1.0,0.0","0.0003483894164685"
10755,"1.0,0.0","0.0001030304960821"
38,"1.0,0.0","0.0003316290485392"
57,"1.0,0.0","0.0013741858874898"
81,"1.0,0.0","0.005602926261788"
101,"1.0,0.0","0.0026955214962642"
237,"1.0,0.0","0.0100102767734255"
293,"1.0,0.0","0.0041374709949946"
1351,"1.0,0.0","0.0001030341016933"
1842,"1.0,0.0","4.587168206439904e-06"
2153,"1.0,0.0","0.0"
2572,"1.0,0.0","0.0018968318363662"
2603,"1.0,0.0","0.009733292294054"
2721,"1.0,0.0","0.0001866876200876"
2722,"1.0,0.0","0.000170524765167"
2907,"1.0,0.0","0.0202165396015605"
3112,"1.0,0.0","0.0"
3128,"1.0,0.0","0.0018598490767089"
3754,"1.0,0.0","0.0"
4600,"1.0,0.0","0.0"
4901,"1.0,0.0","1.6100227025655264e-06"
6360,"1.0,0.0","0.0004005517410123"
7539,"1.0,0.0","0.0002506082295372"
7575,"1.0,0.0","0.00699828113207"
7896,"1.0,0.0","0.0004183754247756"
8895,"1.0,0.0","0.0001704413823431"
10437,"1.0,0.0","0.0002662653066167"
10466,"1.0,0.0","2.229851812945996e-06"
10490,"1.0,0.0","0.0014804913144729"
10578,"1.0,0.0","0.0002134938457196"
10764,"1.0,0.0","0.0"
10886,"1.0,0.0","0.0014613500012992"
11317,"1.0,0.0","3.9708776088385416e-08"
14041,"1.0,0.0","0.0021572341483113"
14048,"1.0,0.0","0.0001511717182417"
14325,"1.0,0.0","0.0006797228529002"
14877,"1.0,0.0","0.0021797295357543"
16509,"1.0,0.0","0.093455769013791"
16839,"1.0,0.0","0.0001271777294403"
16905,"1.0,0.0","0.0"
17579,"1.0,0.0","1.2366102450811576e-05"
17934,"1.0,0.0","3.2195575559961755e-06"
18592,"1.0,0.0","1.5293890850375314e-05"
19679,"1.0,0.0","0.0001175191970629"
19782,"1.0,0.0","0.0026373582996014"
20080,"1.0,0.0","0.001562614563601"
20965,"1.0,0.0","1.2878950734058667e-05"
21976,"1.0,0.0","0.0010573491519875"
22335,"1.0,0.0","0.0001727243963829"
22388,"1.0,0.0","0.0"
22556,"1.0,0.0","1.9317981806269207e-05"
22742,"1.0,0.0","0.0011261428912578"
23864,"1.0,0.0","1.3296976117291086e-07"
23911,"1.0,0.0","7.244293216717357e-06"
24167,"1.0,0.0","2.017350146725355e-05"
25829,"1.0,0.0","9.976128539513942e-05"
25969,"1.0,0.0","0.0001030304960821"
27405,"1.0,0.0","0.0001121320190906"
27750,"1.0,0.0","0.0001260615859567"
